#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
FSR_0384          ; 0.1838; 0.0629; 58.0870; 0.1552; 0.1126; 13.9720; 0.0399; 0.0019; 0.0325; 0.0019; 0.1063; 0.0091; 0.0898; 0.0091; 0.4017; 0.2124;-12.5353
FSR_0385          ; 0.2418; 0.0701; 58.2657; 0.0801; 0.1457; 53.7578; 0.0459; 0.0026; 0.0348; 0.0026; 0.1069; 0.0115; 0.0983; 0.0115; 0.1191; 0.0992;-86.3266
FSR_0398          ; 0.3682; 0.0368;-30.5219; 0.1894; 0.1715;-48.3635; 0.0697; 0.0022; 0.0441; 0.0022; 0.1923; 0.0256; 0.1559; 0.0256; 0.2161; 0.1644;-16.5897
FSR_0401          ; 0.1281; 0.0470; 56.2708; 0.2492; 0.0030; 21.9814; 0.0220; 0.0008; 0.0192; 0.0008; 0.0593; 0.0001; 0.0445; 0.0001; 0.4649; 0.2978;-26.7389
FSR_0430          ; 0.4068; 0.0432;-48.2059; 0.4449; 0.0472; 81.0360; 0.0655; 0.0024; 0.0389; 0.0024; 0.1674; 0.0069; 0.0929; 0.0069; 0.3053; 0.2419;-78.5043
FSR_0442          ; 0.1340; 0.0183;  5.1376; 0.0568; 0.1836; 48.5200; 0.0951; 0.0013; 0.0823; 0.0013; 0.3126; 0.0418; 0.2948; 0.0418; 0.2550; 0.1754; 18.2185
FSR_0448          ; 0.0484; 0.0216; -2.5012; 0.1305; 0.0349;-84.8267; 0.0501; 0.0008; 0.0477; 0.0008; 0.1916; 0.0050; 0.1666; 0.0050; 0.0437; 0.2167; 43.0146
FSR_0465          ; 0.1419; 0.0412; 16.5798; 0.0860; 0.0430; 45.6936; 0.0365; 0.0011; 0.0313; 0.0011; 0.1168; 0.0037; 0.1067; 0.0037; 0.1689; 0.0793; 41.0372
FSR_0496          ; 0.3023; 0.0996;-13.5194; 0.1147; 0.0784;-57.7234; 0.0868; 0.0071; 0.0606; 0.0071; 0.1709; 0.0100; 0.1513; 0.0100; 0.1944; 0.0836;-49.7672
FSR_0498          ; 0.1893; 0.0227;-16.9326; 0.0532; 0.0748;-54.3918; 0.0965; 0.0017; 0.0782; 0.0017; 0.3181; 0.0173; 0.3012; 0.0173; 0.2521; 0.0915; -2.7294
FSR_0534          ; 0.5746; 0.0648;-29.7989; 0.1875; 0.0402;-49.1369; 0.1591; 0.0095; 0.0677; 0.0095; 0.2443; 0.0076; 0.1985; 0.0076; 0.1017; 0.1221;  7.9134
FSR_0536          ; 0.2155; 0.0239;-84.0638; 0.3004; 0.1108;-88.7840; 0.0814; 0.0015; 0.0639; 0.0015; 0.3031; 0.0275; 0.2121; 0.0275; 0.0753; 0.1879;-29.4062
FSR_0537          ; 0.3377; 0.0488; 38.0111; 0.2116; 0.0394; 15.6445; 0.0602; 0.0025; 0.0399; 0.0025; 0.1625; 0.0050; 0.1281; 0.0050; 0.1370; 0.0842;-37.6225
FSR_0542          ; 0.1448; 0.1922;-74.6978; 0.0794; 0.0248;-74.7265; 0.1535; 0.0224; 0.1313; 0.0224; 0.3062; 0.0056; 0.2819; 0.0056; 0.2291; 0.1011; -2.2548
FSR_0551          ; 0.1198; 0.0582;-52.3957; 0.1054; 0.0770; 17.5424; 0.0695; 0.0030; 0.0612; 0.0030; 0.2088; 0.0120; 0.1868; 0.0120; 0.2594; 0.1350;-10.1979
FSR_0553          ; 0.3353; 0.0419; 65.1900; 0.0543; 0.0752;-49.9190; 0.0527; 0.0018; 0.0350; 0.0018; 0.1196; 0.0065; 0.1131; 0.0065; 0.4473; 0.1959;-12.5189
FSR_0558          ; 0.1540; 0.0262; 58.9677; 0.0816; 0.0932; 69.8645; 0.1039; 0.0021; 0.0879; 0.0021; 0.3158; 0.0217; 0.2900; 0.0217; 0.2876; 0.1832;-50.6669
FSR_0667          ; 0.0401; 0.0219; 88.3851; 0.3740; 0.0628; 11.1563; 0.0548; 0.0009; 0.0526; 0.0009; 0.2023; 0.0108; 0.1267; 0.0108; 0.3890; 0.1174;-71.5586
FSR_0683          ; 0.3217; 0.0204; 39.0661; 0.0784; 0.1474;-35.3247; 0.0391; 0.0007; 0.0265; 0.0007; 0.0851; 0.0092; 0.0784; 0.0092; 0.1727; 0.1859;-36.5105
FSR_0716          ; 0.1639; 0.0221; -1.8276; 0.0978; 0.0645;-85.5653; 0.0583; 0.0010; 0.0487; 0.0010; 0.1763; 0.0084; 0.1590; 0.0084; 0.2067; 0.1588; 52.4066
FSR_0728          ; 0.0746; 0.0550; 28.2569; 0.1735; 0.0875;  1.0805; 0.0502; 0.0020; 0.0464; 0.0020; 0.1548; 0.0104; 0.1280; 0.0104; 0.1930; 0.1353; 69.8940
FSR_0735          ; 0.1748; 0.0241;-38.8667; 0.1223; 0.0389;-13.0369; 0.0614; 0.0011; 0.0507; 0.0011; 0.2230; 0.0065; 0.1957; 0.0065; 0.2385; 0.1122;-16.2112
FSR_0771          ; 0.2361; 0.0274;  6.1598; 0.2031; 0.1262; -2.7102; 0.1406; 0.0031; 0.1074; 0.0031; 0.3808; 0.0376; 0.3035; 0.0376; 0.2653; 0.1576; 55.4341
FSR_0811          ; 0.3249; 0.0675;-48.4007; 0.0698; 0.0647;-14.2280; 0.0729; 0.0041; 0.0492; 0.0041; 0.1648; 0.0078; 0.1533; 0.0078; 0.2360; 0.1632; 24.6826
FSR_0826          ; 0.1366; 0.2292; 82.6409; 0.2208; 0.0134; 78.8087; 0.2058; 0.0357; 0.1777; 0.0357; 0.4440; 0.0047; 0.3460; 0.0047; 0.1217; 0.1165;  7.9731
FSR_0833          ; 0.2369; 0.1686;-89.5330; 0.0905; 0.0383;-73.0612; 0.0668; 0.0090; 0.0510; 0.0090; 0.1286; 0.0037; 0.1170; 0.0037; 0.2673; 0.1140;-85.9148
FSR_0850          ; 0.1287; 0.0133; -7.1676; 0.2437; 0.0931;-14.0022; 0.1022; 0.0010; 0.0890; 0.0010; 0.3670; 0.0273; 0.2776; 0.0273; 0.0662; 0.0715; 37.8071
FSR_0852          ; 0.1533; 0.0132;-18.9358; 0.0257; 0.0395;-56.2738; 0.0784; 0.0008; 0.0664; 0.0008; 0.2827; 0.0080; 0.2754; 0.0080; 0.0750; 0.0513;-63.3793
FSR_0866          ; 0.2049; 0.0453; 81.1372; 0.0681; 0.0724; 34.7072; 0.0781; 0.0028; 0.0621; 0.0028; 0.1960; 0.0104; 0.1826; 0.0104; 0.0786; 0.0840;-62.5212
FSR_0883          ; 0.2143; 0.0715; 14.9777; 0.2431; 0.0414; 17.5604; 0.0487; 0.0027; 0.0383; 0.0027; 0.1293; 0.0043; 0.0979; 0.0043; 0.3579; 0.1517; 17.1855
FSR_0893          ; 0.1342; 0.0394;-66.0971; 0.0738; 0.0711;-40.6534; 0.1155; 0.0034; 0.1000; 0.0034; 0.3558; 0.0186; 0.3295; 0.0186; 0.0831; 0.1783;-51.1153
FSR_0904          ; 0.1093; 0.0240; 83.8726; 0.1474; 0.1543;-65.6434; 0.0821; 0.0015; 0.0731; 0.0015; 0.2404; 0.0282; 0.2050; 0.0282; 0.1787; 0.0608; 79.8410
FSR_0905          ; 0.1749; 0.0640; 35.7450; 0.2457; 0.0779;  3.6608; 0.0654; 0.0032; 0.0539; 0.0032; 0.1753; 0.0109; 0.1322; 0.0109; 0.2976; 0.1537;-84.4576
FSR_0921          ; 0.2859; 0.0158; -4.9643; 0.1644; 0.0656;-19.3562; 0.0622; 0.0008; 0.0444; 0.0008; 0.1821; 0.0092; 0.1522; 0.0092; 0.2367; 0.1311;  4.2442
FSR_0923          ; 0.3709; 0.0222; 56.6288; 0.2709; 0.1067; 56.9037; 0.0458; 0.0009; 0.0288; 0.0009; 0.1288; 0.0111; 0.0939; 0.0111; 0.3093; 0.1714; 15.5370
FSR_0932          ; 0.1583; 0.0200; 17.4456; 0.0911; 0.2087; 64.6580; 0.0486; 0.0007; 0.0409; 0.0007; 0.1390; 0.0215; 0.1264; 0.0215; 0.2333; 0.0316;-76.0830
FSR_0935          ; 0.2812; 0.0309; 27.9282; 0.2063; 0.0468; 11.4187; 0.0563; 0.0014; 0.0405; 0.0014; 0.1624; 0.0060; 0.1289; 0.0060; 0.3437; 0.1449; 72.8773
FSR_0937          ; 0.3658; 0.1168; 16.5557; 0.0387; 0.0251; 58.6983; 0.0873; 0.0086; 0.0553; 0.0086; 0.2063; 0.0037; 0.1983; 0.0037; 0.0637; 0.1195;-19.2637
FSR_0941          ; 0.1319; 0.0360;-72.1201; 0.1374; 0.0293;-69.0789; 0.0682; 0.0019; 0.0592; 0.0019; 0.2282; 0.0051; 0.1969; 0.0051; 0.0734; 0.0404;-71.9441
FSR_0942          ; 0.0595; 0.0159;-48.3558; 0.0431; 0.1681; 52.1158; 0.0626; 0.0007; 0.0589; 0.0007; 0.2424; 0.0294; 0.2320; 0.0294; 0.0929; 0.1185; 58.3110
FSR_0948          ; 0.1413; 0.0543;  8.4813; 0.0791; 0.0689; 69.7950; 0.0463; 0.0019; 0.0398; 0.0019; 0.1450; 0.0074; 0.1336; 0.0074; 0.1676; 0.1339; 13.2363
FSR_0951          ; 0.1783; 0.0276;  9.1425; 0.1688; 0.1249; -8.4540; 0.1592; 0.0034; 0.1308; 0.0034; 0.5199; 0.0500; 0.4322; 0.0500; 0.1179; 0.0513;  3.2810
FSR_0953          ; 0.1515; 0.0149;  2.5192; 0.1162; 0.1819; 20.0509; 0.0871; 0.0010; 0.0739; 0.0010; 0.3337; 0.0455; 0.2950; 0.0455; 0.0218; 0.1567; 86.9738
FSR_0968          ; 0.3412; 0.0592;-21.2168; 0.2676; 0.0393; 89.5540; 0.0610; 0.0030; 0.0402; 0.0030; 0.1441; 0.0046; 0.1055; 0.0046; 0.2564; 0.3700;-18.9285
FSR_0974          ; 0.3157; 0.0678; 48.8310; 0.1042; 0.0350; 33.7801; 0.0896; 0.0050; 0.0613; 0.0050; 0.2290; 0.0060; 0.2052; 0.0060; 0.1264; 0.0396; -9.9210
FSR_0977          ; 0.2636; 0.0390;-48.6592; 0.2072; 0.1353;-32.4942; 0.0286; 0.0009; 0.0211; 0.0009; 0.0786; 0.0083; 0.0623; 0.0083; 0.4248; 0.2560; -3.3887
FSR_0979          ; 0.1972; 0.0125;  5.6444; 0.1855; 0.1717; 18.2047; 0.0523; 0.0005; 0.0420; 0.0005; 0.1779; 0.0237; 0.1449; 0.0237; 0.2009; 0.2277; -0.4455
FSR_0985          ; 0.1086; 0.0163;-17.6956; 0.1352; 0.0588;  7.6936; 0.0465; 0.0006; 0.0415; 0.0006; 0.1708; 0.0076; 0.1477; 0.0076; 0.2984; 0.1024;-22.3452
FSR_1025          ; 0.1188; 0.0618;-43.3467; 0.1609; 0.1934;  4.9239; 0.0149; 0.0007; 0.0131; 0.0007; 0.0342; 0.0051; 0.0287; 0.0051; 0.1906; 0.1934; -5.7834
FSR_1051          ; 0.1433; 0.0846; 87.7347; 0.1954; 0.1627; 20.2879; 0.0693; 0.0045; 0.0594; 0.0045; 0.1880; 0.0238; 0.1513; 0.0238; 0.3292; 0.1682;  9.0026
FSR_1063          ; 0.2250; 0.0294; 56.1068; 0.0465; 0.1104; 46.8943; 0.0555; 0.0013; 0.0430; 0.0013; 0.1621; 0.0129; 0.1545; 0.0129; 0.1134; 0.0617;-80.5962
FSR_1083          ; 0.1328; 0.0494;-13.1207; 0.0551; 0.1561; 43.7715; 0.0436; 0.0016; 0.0378; 0.0016; 0.1209; 0.0137; 0.1142; 0.0137; 0.1313; 0.2204; -6.3216
FSR_1085          ; 0.1926; 0.0340; 38.7215; 0.1807; 0.0658; 14.6753; 0.0460; 0.0012; 0.0371; 0.0012; 0.1366; 0.0070; 0.1119; 0.0070; 0.0642; 0.2370; 10.2751
FSR_1113          ; 0.0884; 0.0356; 59.8393; 0.1494; 0.0685; 82.0693; 0.0484; 0.0013; 0.0441; 0.0013; 0.1721; 0.0090; 0.1464; 0.0090; 0.1168; 0.0921;-17.5939
FSR_1117          ; 0.2406; 0.0177; 29.9521; 0.2145; 0.2286; 57.2851; 0.1269; 0.0018; 0.0963; 0.0018; 0.3800; 0.0683; 0.2985; 0.0683; 0.1864; 0.1131;-27.9054
FSR_1125          ; 0.2228; 0.0471;-83.5000; 0.2059; 0.0419;-59.2410; 0.0459; 0.0017; 0.0357; 0.0017; 0.1271; 0.0042; 0.1010; 0.0042; 0.1409; 0.1519; -0.6050
FSR_1144          ; 0.2044; 0.0284;-81.3139; 0.1350; 0.1065;-52.0695; 0.0514; 0.0011; 0.0409; 0.0011; 0.1743; 0.0140; 0.1508; 0.0140; 0.2790; 0.1834;-32.9227
FSR_1150          ; 0.1000; 0.0592; 69.0682; 0.0949; 0.0790;-56.6083; 0.0381; 0.0017; 0.0343; 0.0017; 0.1011; 0.0059; 0.0915; 0.0059; 0.0966; 0.2079;-33.7861
FSR_1163          ; 0.2236; 0.0210;-14.7162; 0.1187; 0.1026;-32.8122; 0.0955; 0.0016; 0.0742; 0.0016; 0.2980; 0.0229; 0.2626; 0.0229; 0.2513; 0.1561;-25.6605
FSR_1170          ; 0.3471; 0.0665;-39.4667; 0.3616; 0.0873;-83.1601; 0.0227; 0.0013; 0.0148; 0.0013; 0.0588; 0.0043; 0.0375; 0.0043; 0.4224; 0.2618;-16.4527
FSR_1172          ; 0.1071; 0.0307; 30.9033; 0.0784; 0.0994; 89.3430; 0.0361; 0.0008; 0.0322; 0.0008; 0.1158; 0.0085; 0.1067; 0.0085; 0.1162; 0.1250;  1.0148
FSR_1180          ; 0.0653; 0.0973; 45.3229; 0.0548; 0.1214; 88.7840; 0.0918; 0.0065; 0.0858; 0.0065; 0.1636; 0.0144; 0.1546; 0.0144; 0.2115; 0.1930;-13.0334
FSR_1183          ; 0.2579; 0.0135; 56.2536; 0.0768; 0.0503; 29.3394; 0.0728; 0.0008; 0.0541; 0.0008; 0.2200; 0.0081; 0.2031; 0.0081; 0.1299; 0.1440; 44.6725
FSR_1207          ; 0.3667; 0.0827;-57.2140; 0.0427; 0.0333;-68.9960; 0.0396; 0.0028; 0.0251; 0.0028; 0.0990; 0.0024; 0.0948; 0.0024; 0.0976; 0.1418;-76.8742
FSR_1209          ; 0.0577; 0.0488;-66.6469; 0.0717; 0.1067; 41.0552; 0.0472; 0.0017; 0.0445; 0.0017; 0.1672; 0.0131; 0.1552; 0.0131; 0.0638; 0.0486;-43.2168
FSR_1211          ; 0.1042; 0.0311; 40.1676; 0.3003; 0.1998; 45.5350; 0.0475; 0.0011; 0.0425; 0.0011; 0.1497; 0.0245; 0.1047; 0.0245; 0.3616; 0.2256;  7.9680
FSR_1212          ; 0.3134; 0.1701;-37.3239; 0.0437; 0.0343;-62.5287; 0.0555; 0.0078; 0.0381; 0.0078; 0.1261; 0.0031; 0.1206; 0.0031; 0.2133; 0.0787;  7.1586
FSR_1252          ; 0.0619; 0.0516;  2.0154; 0.1167; 0.0766; 15.1231; 0.0450; 0.0017; 0.0422; 0.0017; 0.1570; 0.0090; 0.1387; 0.0090; 0.3961; 0.1829; 18.2275
FSR_1253          ; 0.2230; 0.0282;-18.2732; 0.0083; 0.0913;-11.8321; 0.0683; 0.0015; 0.0531; 0.0015; 0.2034; 0.0132; 0.2017; 0.0132; 0.1191; 0.1001; 76.6331
FSR_1260          ; 0.2640; 0.0484; 26.2423; 0.3269; 0.1434;  2.5529; 0.0559; 0.0022; 0.0411; 0.0022; 0.1582; 0.0188; 0.1065; 0.0188; 0.2256; 0.1249;-65.7071
FSR_1284          ; 0.1959; 0.0160;-25.6045; 0.3336; 0.0371; -7.4282; 0.0431; 0.0005; 0.0347; 0.0005; 0.1490; 0.0046; 0.0993; 0.0046; 0.1829; 0.2085; 50.2589
FSR_1315          ; 0.1237; 0.0218; 14.9121; 0.0290; 0.0441; 81.8792; 0.0714; 0.0012; 0.0626; 0.0012; 0.2600; 0.0082; 0.2525; 0.0082; 0.0542; 0.0828; -9.4080
FSR_1335          ; 0.2545; 0.0192;-23.1269; 0.0631; 0.1327;-21.1164; 0.0322; 0.0005; 0.0240; 0.0005; 0.0952; 0.0092; 0.0892; 0.0092; 0.3153; 0.1376;-17.3498
FSR_1342          ; 0.0365; 0.0305;-77.5131; 0.2441; 0.0660;-66.3216; 0.0337; 0.0007; 0.0325; 0.0007; 0.1384; 0.0073; 0.1046; 0.0073; 0.0115; 0.2035; 75.5472
FSR_1352          ; 0.2992; 0.0236; 85.2024; 0.1667; 0.1054; 62.1134; 0.0466; 0.0009; 0.0327; 0.0009; 0.1397; 0.0113; 0.1164; 0.0113; 0.3428; 0.2821;-12.6372
FSR_1360          ; 0.3084; 0.0592;-57.4123; 0.1176; 0.0719; 66.7978; 0.0617; 0.0030; 0.0427; 0.0030; 0.1246; 0.0067; 0.1100; 0.0067; 0.0749; 0.1904; 35.1855
FSR_1361          ; 0.1281; 0.0560;-61.7572; 0.0945; 0.0576; 25.7218; 0.1044; 0.0044; 0.0910; 0.0044; 0.3221; 0.0138; 0.2917; 0.0138; 0.2827; 0.3183; 29.2605
FSR_1363          ; 0.1689; 0.0593; -5.6641; 0.0404; 0.0465;-24.6117; 0.0404; 0.0018; 0.0335; 0.0018; 0.0851; 0.0029; 0.0817; 0.0029; 0.4251; 0.1971;-48.0789
FSR_1378          ; 0.2766; 0.0491; 45.7249; 0.1506; 0.1085; 13.0019; 0.0656; 0.0026; 0.0474; 0.0026; 0.1854; 0.0153; 0.1575; 0.0153; 0.1482; 0.0727;-57.0986
FSR_1380          ; 0.3454; 0.0406;-27.8846; 0.0641; 0.1392;-37.0120; 0.0507; 0.0017; 0.0332; 0.0017; 0.1299; 0.0132; 0.1215; 0.0132; 0.3588; 0.0406;-80.7731
FSR_1399          ; 0.2806; 0.0249; 39.7465; 0.0707; 0.1962; 47.6328; 0.0419; 0.0009; 0.0301; 0.0009; 0.1057; 0.0152; 0.0982; 0.0152; 0.4335; 0.3353; -4.2717
FSR_1402          ; 0.1064; 0.0225; 40.4121; 0.1332; 0.0954; 20.5969; 0.0569; 0.0010; 0.0509; 0.0010; 0.2049; 0.0148; 0.1776; 0.0148; 0.2605; 0.1572; 13.6622
FSR_1407          ; 0.2897; 0.0166; 16.9208; 0.0101; 0.1433;  9.3004; 0.0559; 0.0008; 0.0397; 0.0008; 0.1352; 0.0138; 0.1338; 0.0138; 0.5782; 0.2414;-50.8527
FSR_1419          ; 0.2840; 0.0421;  6.1129; 0.4157; 0.0452; 15.6859; 0.0536; 0.0018; 0.0384; 0.0018; 0.1483; 0.0058; 0.0867; 0.0058; 0.2054; 0.0832; 46.3053
FSR_1441          ; 0.2452; 0.0290; -6.6851; 0.1204; 0.0156;  7.0034; 0.0658; 0.0015; 0.0497; 0.0015; 0.2173; 0.0026; 0.1911; 0.0026; 0.1491; 0.0866;-58.1495
FSR_1452          ; 0.0383; 0.0631; 64.9358; 0.0847; 0.1568; 12.2856; 0.0592; 0.0027; 0.0569; 0.0027; 0.1224; 0.0142; 0.1120; 0.0142; 0.0770; 0.1966;-26.3458
FSR_1484          ; 0.1033; 0.0541;-31.6833; 0.0867; 0.0551;-32.1475; 0.0400; 0.0016; 0.0359; 0.0016; 0.0987; 0.0040; 0.0902; 0.0040; 0.4591; 0.1437;-19.4499
FSR_1509          ; 0.1840; 0.0419;-26.3514; 0.0540; 0.0968; -6.7156; 0.0224; 0.0007; 0.0183; 0.0007; 0.0717; 0.0051; 0.0679; 0.0051; 0.1130; 0.1488; 24.0632
FSR_1521          ; 0.1401; 0.0426; 83.4184; 0.0198; 0.0624; 37.2801; 0.0558; 0.0018; 0.0480; 0.0018; 0.1416; 0.0063; 0.1388; 0.0063; 0.1909; 0.0354;-80.9845
FSR_1530          ; 0.2308; 0.0444;  1.2540; 0.1377; 0.0751;  9.8703; 0.0342; 0.0012; 0.0263; 0.0012; 0.0997; 0.0057; 0.0860; 0.0057; 0.2038; 0.0574; 17.1460
FSR_1595          ; 0.3701; 0.3129;-81.1935; 0.0592; 0.0594; 86.5745; 0.0388; 0.0103; 0.0244; 0.0103; 0.0892; 0.0039; 0.0839; 0.0039; 0.2893; 0.1031;-10.8089
FSR_1663          ; 0.3239; 0.0582; 16.9089; 0.1481; 0.1454; 11.8215; 0.0432; 0.0021; 0.0292; 0.0021; 0.0962; 0.0106; 0.0820; 0.0106; 0.3719; 0.1058; 61.8072
FSR_1723          ; 0.2151; 0.0217;-16.3029; 0.1399; 0.1219;-40.9200; 0.0429; 0.0007; 0.0337; 0.0007; 0.1386; 0.0128; 0.1192; 0.0128; 0.2592; 0.1385; -5.7576
Feibelman_1       ; 0.2441; 0.0478;-70.3095; 0.1219; 0.0781;-42.1518; 0.0378; 0.0014; 0.0285; 0.0014; 0.0948; 0.0056; 0.0832; 0.0056; 0.3044; 0.1093;-13.7990
Ferrero_1         ; 0.0865; 0.0099;-10.0977; 0.0317; 0.1131; 44.5949; 0.2323; 0.0017; 0.2122; 0.0017; 0.9423; 0.0765; 0.9125; 0.0765; 0.1061; 0.0553;-23.5115
Ferrero_11        ; 0.1692; 0.0224;  6.7256; 0.2337; 0.1501;  0.4140; 0.2072; 0.0036; 0.1722; 0.0036; 0.7060; 0.0841; 0.5410; 0.0841; 0.1624; 0.2671;-82.5352
Graham_1          ; 0.4095; 0.0770; 21.6798; 0.1757; 0.1439; -8.5812; 0.0357; 0.0024; 0.0211; 0.0024; 0.0675; 0.0075; 0.0557; 0.0075; 0.3399; 0.1216;-87.5866
Gulliver_1        ; 0.2667; 0.0101;-24.0589; 0.1897; 0.0760; -6.9909; 0.0802; 0.0007; 0.0588; 0.0007; 0.3264; 0.0193; 0.2645; 0.0193; 0.0651; 0.0489; 40.6974
Gulliver_10       ; 0.3953; 0.0291;-88.2158; 0.3257; 0.2163;-71.5296; 0.2461; 0.0061; 0.1488; 0.0061; 0.5906; 0.1059; 0.3983; 0.1059; 0.0409; 0.0374;-81.4871
Gulliver_11       ; 0.0477; 0.0216; 78.8287; 0.0575; 0.0981;  8.0443; 0.1414; 0.0022; 0.1347; 0.0022; 0.4563; 0.0326; 0.4301; 0.0326; 0.3009; 0.1192; 25.3120
Gulliver_12       ; 0.1972; 0.0377;-31.2404; 0.2372; 0.1379; 20.2951; 0.0907; 0.0027; 0.0728; 0.0027; 0.2498; 0.0274; 0.1906; 0.0274; 0.1669; 0.1428;-80.7815
Gulliver_13       ; 0.0293; 0.0337;-18.2702; 0.1219; 0.1083;-34.5537; 0.1432; 0.0035; 0.1390; 0.0035; 0.4809; 0.0391; 0.4223; 0.0391; 0.1409; 0.1125;-88.9683
Gulliver_14       ; 0.5336; 0.0341; -4.1073; 0.1884; 0.1343; -5.9056; 0.2597; 0.0080; 0.1212; 0.0080; 0.5383; 0.0561; 0.4369; 0.0561; 0.2799; 0.1390;-24.2005
Gulliver_15       ; 0.3813; 0.0458;-20.1389; 0.0186; 0.0258;-47.1301; 0.1543; 0.0060; 0.0955; 0.0060; 0.3254; 0.0060; 0.3194; 0.0060; 0.1861; 0.0324;-38.4866
Gulliver_16       ; 0.4026; 0.2014; 15.4292; 0.1638; 0.0266; -2.8943; 0.0715; 0.0124; 0.0427; 0.0124; 0.1821; 0.0037; 0.1523; 0.0037; 0.1418; 0.1383;-75.3725
Gulliver_17       ; 0.1414; 0.0211; 10.2759; 0.0815; 0.0549; 11.6298; 0.0750; 0.0012; 0.0644; 0.0012; 0.3014; 0.0122; 0.2769; 0.0122; 0.1943; 0.0958; -3.5063
Gulliver_18       ; 0.0526; 0.0215;-59.0993; 0.0888; 0.0571;-36.4972; 0.1380; 0.0022; 0.1307; 0.0022; 0.5377; 0.0227; 0.4900; 0.0227; 0.1862; 0.1955; 89.6021
Gulliver_19       ; 0.1130; 0.0167;-29.6766; 0.0938; 0.1946;-22.3829; 0.1471; 0.0018; 0.1305; 0.0018; 0.4915; 0.0709; 0.4454; 0.0709; 0.0489; 0.1967; 59.1088
Gulliver_2        ; 0.1923; 0.0141;-54.8946; 0.1796; 0.1557;-58.9851; 0.0954; 0.0010; 0.0771; 0.0010; 0.3511; 0.0423; 0.2880; 0.0423; 0.0591; 0.1883; 58.8336
Gulliver_20       ; 0.3264; 0.0967; 15.1052; 0.2344; 0.1560;  8.7984; 0.7810; 0.0626; 0.5261; 0.0626; 2.0077; 0.2487; 1.5372; 0.2487; 0.2719; 0.0878;-10.0017
Gulliver_21       ; 0.2888; 0.0157;-12.0399; 0.3671; 0.1316;-10.3197; 0.3652; 0.0047; 0.2597; 0.0047; 1.2895; 0.1434; 0.8161; 0.1434; 0.0958; 0.2002; 33.0130
Gulliver_23       ; 0.0756; 0.0265; 14.5850; 0.0800; 0.0564;-19.6373; 0.0486; 0.0010; 0.0449; 0.0010; 0.1475; 0.0061; 0.1357; 0.0061; 0.0982; 0.0948; 21.8508
Gulliver_24       ; 0.1664; 0.0437;-55.0379; 0.1430; 0.1321; 32.6939; 0.0871; 0.0029; 0.0726; 0.0029; 0.2791; 0.0280; 0.2392; 0.0280; 0.2035; 0.2684;  0.3713
Gulliver_25       ; 0.3422; 0.0239;  4.6914; 0.1802; 0.1736; 32.2656; 0.3864; 0.0077; 0.2542; 0.0077; 1.0175; 0.1366; 0.8341; 0.1366; 0.3227; 0.0402; 82.2299
Gulliver_26       ; 0.2099; 0.0322; 26.6998; 0.0348; 0.0521;-14.3984; 0.1190; 0.0030; 0.0940; 0.0030; 0.4144; 0.0155; 0.4000; 0.0155; 0.1164; 0.0523;-16.1610
Gulliver_27       ; 0.2154; 0.0379; 12.8246; 0.0183; 0.0490;-62.0071; 0.0639; 0.0019; 0.0501; 0.0019; 0.2121; 0.0074; 0.2083; 0.0074; 0.0901; 0.1167; 24.0455
Gulliver_28       ; 0.1551; 0.0266; 33.3454; 0.2472; 0.0848; 41.1830; 0.6710; 0.0136; 0.5670; 0.0136; 2.1993; 0.1491; 1.6556; 0.1491; 0.1315; 0.1036; 46.9219
