#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
ASCC_29           ; 0.1847; 0.0855; 79.1603; 0.1652; 0.0726;-60.0318; 0.1948; 0.0129; 0.1588; 0.0129; 0.4880; 0.0272; 0.4074; 0.0272; 0.0318; 0.1331;-67.9571
ASCC_30           ; 0.2130; 0.0371;  7.9087; 0.0912; 0.0708; 84.5523; 0.3354; 0.0098; 0.2640; 0.0098; 1.0318; 0.0541; 0.9378; 0.0541; 0.1991; 0.0827;-89.5298
ASCC_32           ; 0.2794; 0.0502;-25.8691; 0.0682; 0.0330;-23.7442; 0.6153; 0.0251; 0.4434; 0.0251; 1.6270; 0.0393; 1.5161; 0.0393; 0.1595; 0.2051; 42.9521
ASCC_41           ; 0.4040; 0.0205;  2.3986; 0.4015; 0.0849; -1.8357; 0.7312; 0.0129; 0.4358; 0.0129; 1.9787; 0.1441; 1.1843; 0.1441; 0.1117; 0.1225; 31.9262
ASCC_58           ; 0.0818; 0.0321;-21.5748; 0.1360; 0.1458;-18.0517; 0.4653; 0.0110; 0.4273; 0.0110; 1.4886; 0.1642; 1.2861; 0.1642; 0.2974; 0.1026; 41.2287
ASCC_6            ; 0.0569; 0.0263;-18.7341; 0.2032; 0.1143;-21.8867; 0.1562; 0.0030; 0.1473; 0.0030; 0.5775; 0.0516; 0.4601; 0.0516; 0.1425; 0.1202;-66.3988
ASCC_66           ; 0.4012; 0.0214; -6.6900; 0.2744; 0.0100;-16.6179; 0.1980; 0.0036; 0.1186; 0.0036; 0.5945; 0.0048; 0.4314; 0.0048; 0.1255; 0.2224; 78.2480
ASCC_67           ; 0.3785; 0.0762;-52.5057; 0.0986; 0.0235; -7.0166; 0.2794; 0.0181; 0.1736; 0.0181; 0.5908; 0.0103; 0.5325; 0.0103; 0.1753; 0.1071;-46.0623
ASCC_71           ; 0.2606; 0.0245;-14.9631; 0.1925; 0.0814;-16.9644; 0.2353; 0.0046; 0.1740; 0.0046; 0.7719; 0.0489; 0.6234; 0.0489; 0.2603; 0.1449; 10.7954
ASCC_73           ; 0.1272; 0.2403; 25.4542; 0.0986; 0.0184; 86.3215; 0.8741; 0.1583; 0.7629; 0.1583; 1.8926; 0.0259; 1.7060; 0.0259; 0.1504; 0.1452;-68.2263
ASCC_77           ; 0.0836; 0.0314; 50.6917; 0.0818; 0.1666;-31.7817; 0.1447; 0.0034; 0.1326; 0.0034; 0.5001; 0.0614; 0.4592; 0.0614; 0.1735; 0.0902; 39.1552
ASCC_79           ; 0.0532; 0.0810;-44.1688; 0.0540; 0.0553;-65.3823; 0.7291; 0.0429; 0.6903; 0.0429; 2.0867; 0.0838; 1.9740; 0.0838; 0.1773; 0.0320;  3.9411
