#
# [ASteCA v0.4.3-dev]
#
# Created:  [2022-06-13 10:42:06]
# Modified: [2022-06-13 16:10:26]
#
# NAME     : Cluster's name
# c_x      : x center coordinate
# c_y      : y center coordinate
# r_cl     : radius
# r_c      : Core radius (King profile)
# r_t      : Tidal radius (King profile)
# ell      : Ellipticity
# theta    : Rotation angle
# CI       : Contamination index
# n_memb_k : Number of members obtained integrating the fitted King profile
# n_memb   : Number of members assuming a uniform background
# a_f      : Fraction of cluster's area that is present in frame
#
# Parameter values are in the sense: mean, median, mode, 16th percentile,
# 84th percentile, and STDDEV.
#
# M  : total initial mass
# z  : metallicity
# a  : log(age)
# bf : binary fraction
# B  : beta
# Av : Visual absorption
# DR : differential reddening
# Rv : ratio of total to selective absorption
# dm : distance modulus
#
NAME,c_x,c_y,r_cl,r_c_mean,r_c_median,r_c_mode,r_c_16th,r_c_84th,r_c_std,r_t_mean,r_t_median,r_t_mode,r_t_16th,r_t_84th,r_t_std,ell_mean,ell_median,ell_mode,ell_16th,ell_84th,ell_std,theta_mean,theta_median,theta_mode,theta_16th,theta_84th,theta_std,CI,n_memb_k,n_memb,a_f,M_mean,M_median,M_mode,M_16th,M_84th,M_std,z_mean,z_median,z_mode,z_16th,z_84th,z_std,a_mean,a_median,a_mode,a_16th,a_84th,a_std,bf_mean,bf_median,bf_mode,bf_16th,bf_84th,bf_std,B_mean,B_median,B_mode,B_16th,B_84th,B_std,Av_mean,Av_median,Av_mode,Av_16th,Av_84th,Av_std,DR_mean,DR_median,DR_mode,DR_16th,DR_84th,DR_std,Rv_mean,Rv_median,Rv_mode,Rv_16th,Rv_84th,Rv_std,dm_mean,dm_median,dm_mode,dm_16th,dm_84th,dm_std
KP_synth_1/0.0400_0.3500_-0.7854_25_1,0.022196,0.019539,0.868917,0.503045,0.463710,0.400759,0.329629,0.691331,0.181755,1.346842,1.271867,1.166245,1.053429,1.655595,0.326443,0.279762,0.287767,0.302048,0.166027,0.390220,0.109129,-0.646687,nan,-0.621596,nan,nan,0.319441,0.55,242,196,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-0.7854_31_0,0.020548,0.021226,0.843709,0.770585,0.760110,0.697789,0.553367,0.990828,0.204317,1.291930,1.255616,1.219059,1.116784,1.465049,0.197704,0.476504,0.483729,0.490038,0.407111,0.546569,0.073822,-0.989580,nan,-0.991785,nan,nan,0.105753,0.53,356,200,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-1.5708_12_1,0.022196,0.021226,0.848647,0.701769,0.687352,0.623172,0.502113,0.906624,0.191892,1.263175,1.246453,1.247800,1.083604,1.423055,0.188189,0.514564,0.520496,0.528261,0.440962,0.585353,0.068895,1.353694,nan,1.507349,nan,nan,1.177428,0.54,387,192,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-1.5708_27_0,0.062582,-0.061233,0.864509,0.628368,0.608130,0.579165,0.447176,0.801084,0.181314,1.397264,1.340680,1.281115,1.165956,1.619329,0.257097,0.498699,0.507885,0.519568,0.426324,0.566532,0.074198,1.156642,nan,1.470849,nan,nan,1.253651,0.55,359,196,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_0.0000_12_0,0.062582,-0.020847,0.838724,0.656193,0.619338,0.560598,0.460817,0.863738,0.203949,1.522492,1.468345,1.370333,1.237165,1.817895,0.300611,0.487975,0.495548,0.510028,0.408563,0.565700,0.082435,0.051754,nan,0.047199,nan,nan,0.110997,0.55,337,185,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_0.0000_25_1,0.022196,-0.019160,0.868418,0.464893,0.422793,0.381416,0.318966,0.609713,0.170987,1.652714,1.610168,1.478239,1.271247,2.051351,0.372345,0.397229,0.410371,0.427798,0.300863,0.498458,0.107093,0.017211,nan,0.004028,nan,nan,0.171195,0.55,301,197,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_0.7854_22_0,0.022196,-0.019160,0.846557,0.642962,0.639772,0.617841,0.444152,0.840244,0.179334,1.073430,1.037449,0.994507,0.911287,1.234865,0.179443,0.283985,0.296663,0.316104,0.174922,0.388691,0.105143,0.877537,nan,0.905985,nan,nan,0.339485,0.54,246,193,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_0.7854_27_1,0.062582,0.061612,0.900782,0.415333,0.368953,0.318461,0.276810,0.556818,0.166678,1.664989,1.641574,1.646899,1.321558,1.991814,0.344024,0.418925,0.443169,0.462286,0.310571,0.526311,0.123871,0.738238,nan,0.813389,nan,nan,0.582809,0.57,313,199,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_1.5708_19_0,0.022196,0.021226,0.848448,0.634767,0.607063,0.542686,0.448421,0.838264,0.190148,1.374956,1.315156,1.246236,1.133072,1.635369,0.265000,0.469620,0.473025,0.478277,0.398705,0.542645,0.074684,-1.355086,nan,-1.446275,nan,nan,0.996431,0.54,338,196,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_1.5708_25_1,0.062582,0.021226,0.823722,0.802676,0.809346,0.915313,0.565879,1.022618,0.216567,1.374146,1.338924,1.283710,1.184849,1.566611,0.207209,0.564117,0.569773,0.575771,0.503970,0.624988,0.062476,-1.416831,nan,-1.460900,nan,nan,0.893289,0.53,402,190,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
