#
# [ASteCA v0.4.3-dev]
#
# Created:  [2022-06-12 14:52:54]
# Modified: [2022-06-12 20:15:15]
#
# NAME     : Cluster's name
# c_x      : x center coordinate
# c_y      : y center coordinate
# r_cl     : radius
# r_c      : Core radius (King profile)
# r_t      : Tidal radius (King profile)
# ell      : Ellipticity
# theta    : Rotation angle
# CI       : Contamination index
# n_memb_k : Number of members obtained integrating the fitted King profile
# n_memb   : Number of members assuming a uniform background
# a_f      : Fraction of cluster's area that is present in frame
#
# Parameter values are in the sense: mean, median, mode, 16th percentile,
# 84th percentile, and STDDEV.
#
# M  : total initial mass
# z  : metallicity
# a  : log(age)
# bf : binary fraction
# B  : beta
# Av : Visual absorption
# DR : differential reddening
# Rv : ratio of total to selective absorption
# dm : distance modulus
#
NAME,c_x,c_y,r_cl,r_c_mean,r_c_median,r_c_mode,r_c_16th,r_c_84th,r_c_std,r_t_mean,r_t_median,r_t_mode,r_t_16th,r_t_84th,r_t_std,ell_mean,ell_median,ell_mode,ell_16th,ell_84th,ell_std,theta_mean,theta_median,theta_mode,theta_16th,theta_84th,theta_std,CI,n_memb_k,n_memb,a_f,M_mean,M_median,M_mode,M_16th,M_84th,M_std,z_mean,z_median,z_mode,z_16th,z_84th,z_std,a_mean,a_median,a_mode,a_16th,a_84th,a_std,bf_mean,bf_median,bf_mode,bf_16th,bf_84th,bf_std,B_mean,B_median,B_mode,B_16th,B_84th,B_std,Av_mean,Av_median,Av_mode,Av_16th,Av_84th,Av_std,DR_mean,DR_median,DR_mode,DR_16th,DR_84th,DR_std,Rv_mean,Rv_median,Rv_mode,Rv_16th,Rv_84th,Rv_std,dm_mean,dm_median,dm_mode,dm_16th,dm_84th,dm_std
KP_synth/0.0400_0.2000_-0.7854_39_0,-0.062098,0.021055,0.719715,0.470053,0.441533,0.392509,0.313485,0.633747,0.159485,1.208076,1.135748,1.032470,0.932269,1.493333,0.293753,0.213509,0.216163,0.245639,0.083372,0.329263,0.114892,-0.604046,nan,-0.727808,nan,nan,0.498733,0.48,201,179,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_-0.7854_42_1,-0.062098,0.021055,0.712913,0.718070,0.730307,0.760049,0.554210,0.869349,0.150742,1.006118,0.974064,0.937770,0.873194,1.132892,0.152083,0.215124,0.215298,0.221283,0.088559,0.335699,0.112789,-0.771872,nan,-0.909755,nan,nan,0.562980,0.48,197,176,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_-1.5708_30_1,-0.062098,-0.021000,0.711757,0.592646,0.602004,0.631927,0.439150,0.741127,0.140692,0.910482,0.886266,0.857270,0.804979,1.012090,0.122684,0.098621,0.079956,0.044001,0.024033,0.183583,0.075916,0.294021,nan,0.954292,nan,nan,0.900032,0.48,175,174,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_-1.5708_49_0,-0.062098,-0.061398,0.662563,0.481383,0.457762,0.368681,0.303278,0.671230,0.170102,1.032123,0.972755,0.922094,0.828689,1.232806,0.233865,0.111646,0.093647,0.055135,0.029226,0.198409,0.081827,0.093601,nan,0.851134,nan,nan,0.865860,0.45,169,170,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_0.0000_36_0,-0.102495,0.061452,0.716063,0.695620,0.707680,0.740690,0.536783,0.838011,0.148239,0.973447,0.952619,0.927982,0.848406,1.092127,0.137702,0.242849,0.249315,0.262428,0.136661,0.344388,0.101063,0.032897,nan,0.034453,nan,nan,0.284979,0.48,210,174,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_0.0000_48_1,-0.062098,0.021055,0.717994,0.659736,0.653266,0.637404,0.477303,0.844561,0.172349,1.046547,1.026992,1.002491,0.902999,1.183990,0.153707,0.319991,0.331764,0.350736,0.214162,0.422292,0.104390,0.309628,nan,0.310510,nan,nan,0.219769,0.49,239,170,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_0.7854_37_0,-0.021701,-0.021000,0.667361,0.585726,0.579616,0.563043,0.425341,0.750648,0.152388,0.996279,0.960290,0.915774,0.842869,1.148817,0.174902,0.169234,0.165336,0.169426,0.055502,0.273560,0.100232,0.239224,nan,0.268007,nan,nan,0.542682,0.44,197,180,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_0.7854_42_1,-0.062098,-0.021000,0.696913,0.643173,0.647697,0.682621,0.477846,0.799710,0.150124,0.977724,0.956809,0.932164,0.854124,1.098072,0.134619,0.210953,0.215193,0.228814,0.098993,0.315821,0.102901,0.687895,nan,0.724215,nan,nan,0.440936,0.47,207,176,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_1.5708_31_0,-0.021701,-0.021000,0.662743,0.689325,0.697272,0.717605,0.552618,0.815860,0.131552,0.915755,0.903215,0.873503,0.813988,1.017609,0.107013,0.202659,0.204697,0.241175,0.075164,0.320246,0.110717,0.996886,nan,1.259289,nan,nan,0.744662,0.45,202,171,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth/0.0400_0.2000_1.5708_41_1,-0.021701,-0.021000,0.712963,0.676556,0.680834,0.691267,0.519018,0.820082,0.149752,0.985774,0.961556,0.940575,0.866520,1.088846,0.138931,0.161284,0.150887,0.128865,0.055565,0.271052,0.096670,0.547081,nan,1.199970,nan,nan,1.034342,0.49,186,170,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
