file,kpc,ell_t,theta_t,Nf,x0,y0,width,height,ell,theta,x1,y1,width_o,height_o,ell_o,theta_o
0.0400_0.3500_1.5708_9_1.dat,0.0400,0.3500,1.5708,1,0.010459919839679387,-0.010220440881763609,1.294417826596011,0.8369728861112588,0.3533982081255137,-83.30670668735682,0.0011542959176434908,0.006931182993648766,1.3819951017740235,0.963696878875313,0.30267706619347223,-79.23481729368095
0.2775_0.8000_-1.5708_10_1.dat,0.2775,0.8000,-1.5708,1,-0.003142284569138258,-0.010661322645290502,1.0995819439963568,0.22173541883231412,0.7983457076182684,89.4710838618142,-0.012031356697693734,-0.009986526284244705,1.1404363173287302,0.5357509129042103,0.5302228587746909,87.21123989771095
0.9900_0.6500_-0.7854_9_0.dat,0.9900,0.6500,-0.7854,0,-0.0054620101965602765,0.010947401679472349,0.727669455593036,0.25274632914257,0.6526632701154307,-47.141007503271084,-0.0008516172339313743,0.004671840511285138,0.8422584335201213,0.7167269236252303,0.14904155886008363,-25.74387924370609
0.7525_0.2000_0.7854_9_0.dat,0.7525,0.2000,0.7854,0,-0.001567254709403525,-0.004129276874504243,0.8462835324795186,0.6871245560223219,0.18806814778834013,45.909922085394236,-0.0035269178888342745,0.0010643366327032122,1.012215212259935,0.8618489754620625,0.148551646899433,31.458033702997056
0.5150_0.3500_0.0000_10_0.dat,0.5150,0.3500,0.0000,0,0.016232464929859636,0.006565130260521011,1.096655438545326,0.6208580784022102,0.4338622172651092,-2.0901938667230695,0.008802904283399688,-0.00040019145990879414,1.177565217010134,0.7501770631382846,0.3629422368274414,-2.596344096799214
0.7525_0.6500_0.7854_10_0.dat,0.7525,0.6500,0.7854,0,-0.026950829401577097,-0.030382918828498577,0.9595619662403059,0.29174730645486624,0.6959578258421686,43.46393380312276,-0.013466933534344645,-0.03287217161796102,1.0529253611501428,0.6419240123357287,0.39034233952296926,38.44635204608582
0.2775_0.6500_0.7854_10_0.dat,0.2775,0.6500,0.7854,0,0.0040449625388716895,-0.0005873662541119334,1.2688102300907078,0.4199287048432757,0.6690374219214368,44.87365768168442,0.006277798823690784,0.0029454892014147637,1.3236112622386047,0.6887406206828478,0.47965037746959727,44.76135578108651
0.9900_0.8000_-0.7854_10_0.dat,0.9900,0.8000,-0.7854,0,-0.001870502908148825,0.0015587524234573812,0.7648393838529391,0.15577006779227687,0.7963362359720902,-43.41988740873987,0.008712745496563595,0.0007938611882363777,0.9390019834325033,0.45791958040667674,0.5123337453103552,-45.18442769514385
0.2775_0.6500_1.5708_9_0.dat,0.2775,0.6500,1.5708,0,0.0033527054108216524,-0.004689378757515109,1.114151782465431,0.4367835771477826,0.6079676180374152,89.19326238880585,0.010893565418024052,-0.01415737107960659,1.1779875373102158,0.5684390214996967,0.5174490361777047,83.65644070627059
0.9900_0.2000_1.5708_10_0.dat,0.9900,0.2000,1.5708,0,-0.008240480961923867,-0.004589178356713502,0.6802945341941558,0.6133656552157666,0.09838220890260407,78.81177372935426,0.015156291001189853,0.009813762505841254,0.9174992105580912,0.7080049583781048,0.22833180646831996,49.029170711970046
